,formula,Temperature,target,ei,std
149,Nb68Al1C6Co25,24,202.3331012,3.96E-08,19.20332388
191,Nb80Al2C1Co17,24,205.2398127,3.95E-08,18.6961814
592,Nb75Al4C3Co18,24,216.7777812,3.95E-08,16.68346457
942,Nb73Al6C3Co18,24,218.7187384,3.78E-08,16.32357309
734,Nb83Al5C2Co10,24,204.4693769,3.71E-08,18.79555057
623,Nb68Al4C4Co24,24,209.1550878,3.67E-08,17.97536642
624,Nb67Al4C4Co25,24,205.9666886,3.59E-08,18.51771486
615,Nb76Al4C4Co16,24,216.8590249,3.56E-08,16.61872395
733,Nb84Al5C2Co9,24,197.5738712,3.52E-08,19.96250613
31,Nb90Al1C2Co7,24,178.5676644,3.50E-08,23.24421547
192,Nb79Al2C1Co18,24,208.518129,3.48E-08,18.05788617
627,Nb88Al4C5Co3,24,193.1452204,3.47E-08,20.72100822
591,Nb76Al4C3Co17,24,216.8239302,3.45E-08,16.60996693
765,Nb76Al5C3Co16,24,216.9879418,3.31E-08,16.56034408
931,Nb84Al6C3Co7,24,205.7773465,3.28E-08,18.50174423
273,Nb70Al2C4Co24,24,208.6286806,3.26E-08,18.00459403
100,Nb93Al1C5Co1,24,170.0981708,3.20E-08,24.63873012
906,Nb85Al6C2Co7,24,196.163557,3.09E-08,20.1303551
474,Nb67Al3C5Co25,24,203.240226,3.08E-08,18.90628468
965,Nb74Al6C4Co16,24,218.1477304,3.04E-08,16.31881174
42,Nb79Al1C2Co18,24,207.072658,3.04E-08,18.23683608
185,Nb86Al2C1Co11,24,183.4889097,3.02E-08,22.29831377
766,Nb75Al5C3Co17,24,216.9306131,3.01E-08,16.5251803
969,Nb70Al6C4Co20,24,212.1679178,2.94E-08,17.33860147
